Table 1
"State, Teritory or Tribal Nation",Total (Billions),Population,Electoral_2020,
ALABAMA,3.0000 ,5108468,Trump,
ALASKA,3.7000 ,733406,Trump,
AMERICAN SAMOA,0.0686 ,49710,,
ARIZONA,3.5000 ,7431344,Biden,
ARKANSAS,2.8000 ,3067732,Trump,
CALIFORNIA,18.4000 ,38965193,Biden,
COLORADO,3.2000 ,5877610,Biden,
CONNECTICUT,2.5000 ,3617176,Biden,
DELEWARE,0.7920 ,1031890,Biden,
DISTRICT OF COLUMBIA,1.1000 ,678972,,
FLORIDA,8.2000 ,22610726,Trump,
GEORGIA,5.0000 ,11029227,Biden,
GUAM,0.1426 ,153836,,
HAWAII,1.0000 ,1435138,Biden,
IDAHO,1.2000 ,1964726,Trump,
ILLINOIS,8.4000 ,12549689,Biden,
INDIANA,3.4000 ,6862199,Trump,
IOWA,2.4000 ,3207004,Trump,
KANSAS,1.5000 ,2940546,Trump,
KENTUCKY,3.9000 ,4526154,Trump,
LOUISIANA,4.3000 ,4573749,Trump,
MAINE,1.1000 ,1395722,Biden,
MARYLAND,2.7000 ,6180253,Biden,
MASSACHUSETTS,3.6000 ,7001399,Biden,
MICHIGAN,5.2000 ,10037261,Biden,
MINNESOTA,2.7000 ,5737915,Biden,
MISSISSIPPI,2.3000 ,2939690,Trump,
MISSOURI,3.8000 ,6196156,Trump,
MONTANA,3.3000 ,1132812,Trump,
NEBRASKA,1.3000 ,1978379,Trump,
NEVADA,1.7000 ,3194176,Biden,
NEW HAMPSHIRE,0.7518 ,1402054,Biden,
NEW JERSEY,5.1000 ,9290841,Biden,
NEW MEXICO,2.6000 ,2114371,Biden,
NEW YORK,10.1000 ,19571216,Biden,
NORTH CAROLINA,4.5000 ,10835491,Trump,
NORTH DAKOTA,1.8000 ,783926,Trump,
NORTHERN MARIANA ISLANDS,0.0833 ,47329,,
OHIO,6.6000 ,11785935,Trump,
OKLAHOMA,2.9000 ,4053824,Trump,
OREGON,2.3000 ,4233358,Biden,
PENNSYLVANIA,8.1000 ,12961683,Biden,
PUERTO RICO,0.9937 ,3205691,,
RHODE ISLAND,1.1000 ,1095962,Biden,
SOUTH CAROLINA,2.3000 ,5373555,Trump,
SOUTH DAKOTA,1.3000 ,919318,Trump,
TENNESSEE,3.7000 ,7126489,Trump,
TEXAS,14.2000 ,30503301,Trump,
TRIBAL COMMUNITIES,3.0000 ,,,
US VIRGIN ISLANDS,0.1483 ,87146,,
UTAH,1.8000 ,3417734,Trump,
VERMONT,0.8521 ,647464,Biden,
VIRGINIA,4.5000 ,8715698,Biden,
WASHINGTON,4.0000 ,7812880,Biden,
WEST VIRGINIA,2.0000 ,1770071,Trump,
WISCONSIN,2.8000 ,5910955,Biden,
WYOMING,2.3000 ,584057,Trump,
